id_businessunit,id_linea,id_pedido,sku_solicitado,sku_solicitado_hash,nombre_sku_solicitado,sku_solicitado_cambio,sku_solicitado_cambio_hash,nombre_sku_solicitado_cambio
1,14233361,8952480000000000000,38,7930000000000000000,Coca - Cola,2108,4950000000000000000,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,20159226,9071530000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,14362752,9211180000000000000,364,9190000000000000000,Fanta Fresa,18,9080000000000000000,"Fanta Fresa, Botella Pet 2.00 L Retornable, 8 Piezas"
1,23689808,8941640000000000000,462,3080000000000000000,Powerade Moras,1529,7690000000000000000,"Powerade Uva, Botella Pet 1.00 L, 6 Piezas"
1,4674142,9155610000000000000,8,7510000000000000000,Coca - Cola,173,858000000000000000,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,17269255,8906210000000000000,404,4740000000000000000,Valle Frut Citrus Punch,3668,2120000000000000000,"Valle Frut Mandarina, Botella Pet 2.00 L, 8 Piezas"
1,12166705,9115450000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,8290505,9180820000000000000,545,177000000000000000,Sprite Lima Limón,1954,7950000000000000000,"Sprite Lima Limón, Botella Pet 2.00 L, 6 Piezas"
1,9220264,9191880000000000000,564,2880000000000000000,Fanta Naranja,3436,6680000000000000000,"Fanta Senzao Guaraná, Botella Pet 600 ml, 6 Piezas"
1,13778977,9191490000000000000,498,7020000000000000000,Del Valle Mango,1850,5150000000000000000,"Del Valle Surtida, Tetra Pack 1.00 L, 4 Piezas"
1,7424441,9056070000000000000,506,576000000000000000,Coca - Cola,211,7850000000000000000,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
1,18190930,8840090000000000000,2577,2370000000000000000,Coca - Cola Zero,1405,5540000000000000000,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,17712863,9172890000000000000,499,4800000000000000000,Del Valle Durazno,389,329000000000000000,"Del Valle Néctar Manzana, Tetra Pack 200 ml, 4 Piezas"
1,2267833,9063420000000000000,378,3790000000000000000,Del Valle Néctar Manzana,3204,2420000000000000000,"Del Valle Piña, Botella Pet 1.00 L, 6 Piezas"
1,18264345,8878730000000000000,254,8510000000000000000,Coca - Cola,1405,5540000000000000000,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,4408297,9092340000000000000,653,8340000000000000000,Fuze Tea Durazno,733,942000000000000000,"Fuze Tea Limón, Botella Pet 600 ml, 6 Piezas"
1,12343101,9008980000000000000,3734,546000000000000000,Santa Clara Leche Fresa,2895,7800000000000000000,"Santa Clara Leche Cajeta, Tetra Pack 200 ml, 4 Piezas"
1,1473727,8862070000000000000,206,6920000000000000000,Fresca Toronja,76,3040000000000000000,"Fresca Toronja, Botella Pet 2.00 L, 8 Piezas"
1,15040898,9020540000000000000,2874,4290000000000000000,Del Valle Mango,380,389000000000000000,"Del Valle Durazno, Botella Vidrio 250 ml, 6 Piezas"
1,6763032,8834610000000000000,8,7510000000000000000,Coca - Cola,173,858000000000000000,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,5537548,9031010000000000000,2783,3230000000000000000,Coca - Cola Zero,3968,4520000000000000000,"Coca Cola Cherry, Botella Pet 600 ml, 12 Piezas"
1,20684271,8957210000000000000,2864,3910000000000000000,Coca - Cola Zero,2337,3290000000000000000,"Coca - Cola, Botella Pet 600 ml, 4 Piezas"
1,19080489,9061180000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,22969243,9203530000000000000,308,6790000000000000000,Frutsi Frutas Rojas,532,4300000000000000000,"Frutsi Frutas Rojas, Botella Pet 260 ml, 6 Piezas"
1,5901668,9060940000000000000,799,8610000000000000000,Coca - Cola,2583,7070000000000000000,"Coca - Cola Zero, Botella Pet 355 ml, 12 Piezas"
1,1307225,8984600000000000000,8,7510000000000000000,Coca - Cola,173,858000000000000000,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,4682313,9191630000000000000,500,4180000000000000000,Del Valle Manzana,386,8800000000000000000,"Del Valle Mango, Tetra Pack 200 ml, 4 Piezas"
1,4551797,8914150000000000000,3161,2840000000000000000,Monster Energy Original,2941,5320000000000000000,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,19055225,9158880000000000000,3274,7350000000000000000,Coca - Cola,3601,70000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 2.00 L, 8 Piezas"
1,18707033,8831590000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,22507677,8930520000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,1255018,9181490000000000000,8,7510000000000000000,Coca - Cola,173,858000000000000000,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,21920668,9005030000000000000,1760,3120000000000000000,Coca - Cola,2860,1110000000000000000,"Coca - Cola Zero, Lata 473 ml, 24 Piezas"
1,10830635,8922950000000000000,377,1260000000000000000,Del Valle Manzana,2829,3760000000000000000,"Del Valle Guayaba, Botella Pet 237 ml, 6 Piezas"
1,11372967,9065350000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,15127715,8963590000000000000,3912,936000000000000000,Coca - Cola,3919,5360000000000000000,"Coca - Cola Zero, Botella Pet 450 ml, 12 Piezas"
1,21357033,9209970000000000000,3055,8250000000000000000,Del Valle Néctar Manzana,2824,8130000000000000000,"Del Valle Reserva Granada, Botella Pet 237 ml, 6 Piezas"
1,7570380,9201550000000000000,679,4450000000000000000,Fuze Tea Limón,2929,2820000000000000000,"Fuze Tea Lichi, Botella Pet 600 ml, 6 Piezas"
1,10357160,9045990000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,9161929,9043670000000000000,376,6630000000000000000,Del Valle Durazno,2947,6560000000000000000,"Del Valle y Nada Limón Pepino, Botella Pet 600 ml, 6 Piezas"
1,8096832,8841910000000000000,3986,5860000000000000000,Coca - Cola,13,2840000000000000000,"Coca - Cola Light, Botella Vidrio 500 ml, 24 Piezas"
1,8044241,9144690000000000000,648,9000000000000000000,Fuze Tea Limón,3487,7370000000000000000,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,8300202,8922670000000000000,3196,634000000000000000,Monster Energy Lo Carb,3071,276000000000000000,"Monster Energy Mango Loco, Lata 473 ml, 4 Piezas"
1,20742147,8988900000000000000,220,6230000000000000000,Powerade Frutas Rojas,1290,8330000000000000000,"Powerade Mango, Botella Pet 600 ml, 6 Piezas"
1,16109835,8914560000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,4713445,9147920000000000000,3986,5860000000000000000,Coca - Cola,13,2840000000000000000,"Coca - Cola Light, Botella Vidrio 500 ml, 24 Piezas"
1,11153141,9136730000000000000,1994,8810000000000000000,Fuze Tea Mango Manzanilla,3487,7370000000000000000,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,10471428,9143830000000000000,399,1050000000000000000,Frutsi Manzana,534,7250000000000000000,"Frutsi Mango, Botella Pet 260 ml, 6 Piezas"
1,22881477,9035420000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,11106361,9195620000000000000,14,3800000000000000000,Coca - Cola Light,2922,8420000000000000000,"Coca - Cola Zero, Lata 355 ml, 24 Piezas"
1,12769370,8895440000000000000,3161,2840000000000000000,Monster Energy Original,2941,5320000000000000000,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,13727273,8870610000000000000,1055,4370000000000000000,Sprite Lima Limón,1407,4360000000000000000,"Sprite Lima Limón, Botella Pet 400 ml, 12 Piezas"
1,18750352,9057680000000000000,99,6140000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,7861967,8971470000000000000,99,6140000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,22679060,8834730000000000000,221,4300000000000000000,Powerade Naranja Mandarina,219,4490000000000000000,"Powerade Moras, Botella Pet 600 ml, 6 Piezas"
1,22854535,9002690000000000000,462,3080000000000000000,Powerade Moras,1529,7690000000000000000,"Powerade Uva, Botella Pet 1.00 L, 6 Piezas"
1,8214558,9133800000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,2322060,9085930000000000000,399,1050000000000000000,Frutsi Manzana,534,7250000000000000000,"Frutsi Mango, Botella Pet 260 ml, 6 Piezas"
1,18730370,9097130000000000000,506,576000000000000000,Coca - Cola,211,7850000000000000000,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
1,16884758,8898590000000000000,3658,5330000000000000000,Flashlyte Uva,3656,3580000000000000000,"Flashlyte Fresa, Botella Pet 625 ml, 6 Piezas"
1,12015761,9040830000000000000,549,8590000000000000000,Delaware Punch Uva,256868,8900000000000000000,"Inca-Kola, Vidrio 1000 Ml, 12 Unidades"
1,615098,9142160000000000000,3244,7590000000000000000,Topo Chico Twist Limón,1461,2410000000000000000,"Topo Chico Agua Mineral, Botella Vidrio 340 ml, 6 Piezas"
1,11530574,9173420000000000000,6,7030000000000000000,Coca - Cola,580,1910000000000000000,"Coca - Cola Zero, Botella Pet 355 ml, 24 Piezas"
1,2377300,9086790000000000000,1575,5540000000000000000,Fanta Fresa,100,4090000000000000000,"Fanta Splash Naranja, Botella Pet 1.00 L, 12 Piezas"
1,5777176,9223010000000000000,3932,5530000000000000000,Familia Coca - Cola,1535,7210000000000000000,"Familia Coca - Cola, Paquete Surtido Botella Pet 600 ml, 12 Piezas"
1,20447888,9020500000000000000,3294,8630000000000000000,Valle Frut Citrus Punch,3203,6720000000000000000,"Valle Frut Citrus Punch, Botella Pet 3.00 L, 2 Piezas"
1,19241433,8946090000000000000,3898,8130000000000000000,Coca - Cola,2108,4950000000000000000,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,23557600,9092400000000000000,1152,4010000000000000000,Topo Chico Agua Mineral,4153,9100000000000000000,"Topo Chico Agua Mineral, Botella Vidrio 355 ml, 12 Piezas"
1,14105787,8921770000000000000,2655,7700000000000000000,Coca - Cola Zero,3337,773000000000000000,"Coca - Cola, Botella Pet 600 ml, 4 Piezas"
1,4586546,8892610000000000000,177,4710000000000000000,Coca - Cola,1679,6480000000000000000,"Coca - Cola Life, Botella Pet 2.00 L, 8 Piezas"
1,16388740,9201910000000000000,8,7510000000000000000,Coca - Cola,173,858000000000000000,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,16915623,9127440000000000000,308,6790000000000000000,Frutsi Frutas Rojas,532,4300000000000000000,"Frutsi Frutas Rojas, Botella Pet 260 ml, 6 Piezas"
1,13680349,9174930000000000000,2290,8570000000000000000,Pulpy,2817,4550000000000000000,"Pulpy, Paquete Surtido Botella Pet 400 ml, 6 Piezas"
1,19182284,9062790000000000000,2663,2840000000000000000,Coca - Cola Zero,4126,3360000000000000000,"Coca - Cola Zero, Botella Vidrio 235 ml, 6 Piezas"
1,6194311,9086850000000000000,99,6140000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,22689867,9108770000000000000,3633,6390000000000000000,Del Valle Fizz Naranja,3631,7350000000000000000,"Del Valle Fizz Limón, Botella Pet 600 ml, 6 Piezas"
1,2142119,8922670000000000000,818,2030000000000000000,Sprite Lima Limón,3140,3130000000000000000,"Sprite Lima Limón, Botella Pet 1.50 L Retornable, 12 Piezas"
1,3199896,9049280000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,19970674,9062380000000000000,2783,3230000000000000000,Coca - Cola Zero,3968,4520000000000000000,"Coca Cola Cherry, Botella Pet 600 ml, 12 Piezas"
1,15198585,8869390000000000000,99,6140000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,2385865,8993130000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,2948217,9223370000000000000,3986,5860000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,15773352,8933960000000000000,1760,3120000000000000000,Coca - Cola,2860,1110000000000000000,"Coca - Cola Zero, Lata 473 ml, 24 Piezas"
1,20099770,8904810000000000000,3734,546000000000000000,Santa Clara Leche Fresa,2895,7800000000000000000,"Santa Clara Leche Cajeta, Tetra Pack 200 ml, 4 Piezas"
1,19143335,8907020000000000000,802,8360000000000000000,Coca - Cola Light,176,9090000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,18623450,9138850000000000000,1148,8230000000000000000,Joya Ponche,1430,84300000000000000,"Joya Ponche, Botella Pet 1.50 L Retornable, 12 Piezas"
1,4147945,8948810000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,20238143,8911250000000000000,310,2520000000000000000,Coca - Cola,3402,1090000000000000000,"Coca - Cola, Botella Pet 2.00 L Retornable, 8 Piezas"
1,10741,9123080000000000000,551,7100000000000000000,Coca - Cola,466,3300000000000000000,"Coca - Cola Zero, Botella Pet 600 ml, 6 Piezas"
1,13741664,8939450000000000000,77,3170000000000000000,Coca - Cola,2783,3230000000000000000,"Coca - Cola Zero, Botella Vidrio 500 ml, 12 Piezas"
1,21259182,9057610000000000000,3734,546000000000000000,Santa Clara Leche Fresa,2895,7800000000000000000,"Santa Clara Leche Cajeta, Tetra Pack 200 ml, 4 Piezas"
1,15093630,8892090000000000000,3274,7350000000000000000,Coca - Cola,3601,70000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 2.00 L, 8 Piezas"
1,22055102,9191950000000000000,310,2520000000000000000,Coca - Cola,3402,1090000000000000000,"Coca - Cola, Botella Pet 2.00 L Retornable, 8 Piezas"
1,20780151,9125150000000000000,2709,2560000000000000000,Ades Frutal Mango,2708,5430000000000000000,"Ades Frutal Durazno, Tetra Pack 200 ml, 4 Piezas"
1,20263630,9095360000000000000,1152,4010000000000000000,Topo Chico Agua Mineral,4153,9100000000000000000,"Topo Chico Agua Mineral, Botella Vidrio 355 ml, 12 Piezas"
1,4459407,9147140000000000000,2429,7960000000000000000,Coca - Cola,608,8590000000000000000,"Coca - Cola, Botella Pet 355 ml, 12 Piezas"
1,16280807,9108210000000000000,2864,3910000000000000000,Coca - Cola Zero,2337,3290000000000000000,"Coca - Cola, Botella Pet 600 ml, 4 Piezas"
1,4544326,8936580000000000000,47,6160000000000000000,Ciel Agua Purificada,2364,4090000000000000000,"Ciel Exprim Jamaica, Botella Pet 600 ml, 12 Piezas"
1,14976586,9165350000000000000,254,8510000000000000000,Coca - Cola,1405,5540000000000000000,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,8254194,8917100000000000000,959,1730000000000000000,Familia Coca - Cola,1605,750000000000000000,"Familia Coca - Cola, Paquete Surtido Botella Pet 2.50 L Retornable, 8 Piezas"
1,13082062,9201760000000000000,2864,3910000000000000000,Coca - Cola Zero,2337,3290000000000000000,"Coca - Cola, Botella Pet 600 ml, 4 Piezas"
1,18943634,9006300000000000000,2718,7810000000000000000,Ades Soya Light Natural,3492,6560000000000000000,"Ades Almendra Sin Azúcar, Tetra Pack 946 ml, 3 Piezas"
1,4595475,9187920000000000000,3955,6020000000000000000,Ciel Agua Purificada,893,8570000000000000000,"Ciel Agua Purificada, Botella Pet 1.50 L, 4 Piezas"
1,4437201,9044870000000000000,48,2400000000000000000,Ciel Agua Purificada,1468,7730000000000000000,"Ciel Agua Purificada, Botella Pet 5.00 L, 1 Pieza"
1,6633024,9134380000000000000,130,5550000000000000000,Coca - Cola Light,2328,5190000000000000000,"Coca - Cola, Botella Vidrio 237 ml, 4 Piezas"
1,21540045,9088010000000000000,3161,2840000000000000000,Monster Energy Original,2941,5320000000000000000,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,13338687,8875820000000000000,4059,6260000000000000000,Costa Coffee Barista,4086,3840000000000000000,"Costa Coffee Barista, Frasco 85 g, 1 Pieza"
1,852965,8958760000000000000,2676,3660000000000000000,Familia Coca - Cola,1000,5060000000000000000,"Familia Coca - Cola, Paquete Surtido Botella Pet 3.00 L, 2 Piezas"
1,10222805,9160620000000000000,2577,2370000000000000000,Coca - Cola Zero,1405,5540000000000000000,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,6744863,9121620000000000000,799,8610000000000000000,Coca - Cola,2583,7070000000000000000,"Coca - Cola Zero, Botella Pet 355 ml, 12 Piezas"
1,14087724,8967300000000000000,2333,1610000000000000000,Coca - Cola Light,38,7930000000000000000,"Coca - Cola, Botella Pet 1.00 L, 12 Piezas"
1,15629241,8833170000000000000,648,9000000000000000000,Fuze Tea Limón,3487,7370000000000000000,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,15477776,9008290000000000000,959,1730000000000000000,Familia Coca - Cola,1605,750000000000000000,"Familia Coca - Cola, Paquete Surtido Botella Pet 2.50 L Retornable, 8 Piezas"
1,5909816,8831590000000000000,310,2520000000000000000,Coca - Cola,3402,1090000000000000000,"Coca - Cola, Botella Pet 2.00 L Retornable, 8 Piezas"
1,851654,9086050000000000000,376,6630000000000000000,Del Valle Durazno,2947,6560000000000000000,"Del Valle y Nada Limón Pepino, Botella Pet 600 ml, 6 Piezas"
1,4369116,9103000000000000000,648,9000000000000000000,Fuze Tea Limón,3487,7370000000000000000,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,16899746,9067010000000000000,99,6140000000000000000,Coca - Cola,2819,2320000000000000000,"Coca - Cola, Botella Vidrio 355 ml, 24 Piezas"
1,3340299,9040360000000000000,177,4710000000000000000,Coca - Cola,1679,6480000000000000000,"Coca - Cola Life, Botella Pet 2.00 L, 8 Piezas"
1,3747740,9176010000000000000,1470,6870000000000000000,Ciel Agua Purificada,2904,4740000000000000000,"Ciel Exprim Pepino Piña, Botella Pet 600 ml, 6 Piezas"
1,22520720,8834290000000000000,310,2520000000000000000,Coca - Cola,3402,1090000000000000000,"Coca - Cola, Botella Pet 2.00 L Retornable, 8 Piezas"
1,22064566,8837070000000000000,3898,8130000000000000000,Coca - Cola,2108,4950000000000000000,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,4057174,9045720000000000000,6,7030000000000000000,Coca - Cola,580,1910000000000000000,"Coca - Cola Zero, Botella Pet 355 ml, 24 Piezas"
1,8954429,9006170000000000000,1399,9160000000000000000,Fresca Toronja,2268,4840000000000000000,"Fresca Toronja, Botella Pet 1.50 L, 12 Piezas"
1,12458601,9127670000000000000,6,7030000000000000000,Coca - Cola,580,1910000000000000000,"Coca - Cola Zero, Botella Pet 355 ml, 24 Piezas"
1,10014128,9086060000000000000,2924,4120000000000000000,Coca - Cola,973,5310000000000000000,"Coca - Cola Life, Botella Vidrio 500 ml, 24 Piezas"
1,21093865,8866420000000000000,3136,1610000000000000000,Coca - Cola,3968,4520000000000000000,"Coca Cola Cherry, Botella Pet 600 ml, 12 Piezas"
1,4212477,9185470000000000000,506,576000000000000000,Coca - Cola,211,7850000000000000000,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
1,13170149,9215350000000000000,498,7020000000000000000,Del Valle Mango,1850,5150000000000000000,"Del Valle Surtida, Tetra Pack 1.00 L, 4 Piezas"
1,18212400,9036080000000000000,1126,974000000000000000,Fanta Naranja,3025,2620000000000000000,"Fanta Piña, Botella Pet 1.50 L, 4 Piezas"
1,11395181,9213420000000000000,375,8050000000000000000,Del Valle Mango,3253,7670000000000000000,"Del Valle Surtida, Botella Pet 1.00 L, 6 Piezas"
1,3729523,9007660000000000000,2578,5940000000000000000,Coca - Cola Zero,148,7510000000000000000,"Coca - Cola Light, Botella Vidrio 237 ml, 24 Piezas"
1,23869646,9202470000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,5341904,9151400000000000000,58,6660000000000000000,Coca - Cola,3003,4680000000000000000,"Coca - Cola Zero, Botella Vidrio 235 ml, 24 Piezas"
1,2122193,9216370000000000000,552,4430000000000000000,Coca - Cola Light,1170,7310000000000000000,"Coca - Cola, Botella Pet 3.00 L, 6 Piezas"
1,63351,9106110000000000000,234,1690000000000000000,Fresca Toronja,4036,6420000000000000000,"Fresca Fusión, Botella Pet 1.75 L, 4 Piezas"
1,14840111,8975120000000000000,13,2840000000000000000,Coca - Cola Light,2579,1980000000000000000,"Coca - Cola Zero, Botella Vidrio 500 ml Retornable, 24 Piezas"
1,18962357,9057760000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,12232261,8861610000000000000,3161,2840000000000000000,Monster Energy Original,2941,5320000000000000000,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,14868122,9207250000000000000,995,7810000000000000000,Santa Clara Leche Light,1929,4090000000000000000,"Santa Clara Leche Light Deslactosada, Tetra Pack 1.00 L, 6 Piezas"
1,18236798,9067710000000000000,506,576000000000000000,Coca - Cola,211,7850000000000000000,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
1,5008681,9149510000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,1460262,8927560000000000000,2,6270000000000000000,Coca - Cola,3599,1990000000000000000,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,10784012,9059520000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,15546739,9196410000000000000,2924,4120000000000000000,Coca - Cola,973,5310000000000000000,"Coca - Cola Life, Botella Vidrio 500 ml, 24 Piezas"
1,18201705,8888770000000000000,406,279000000000000000,Coca - Cola,2392,4910000000000000000,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,2281859,9048290000000000000,3156,3360000000000000000,Coca - Cola,1324,6560000000000000000,"Coca - Cola, Botella Vidrio 500 ml, 24 Piezas"
1,1284492,9183330000000000000,461,7120000000000000000,Powerade Lima Limón,3369,8710000000000000000,"Powerade Fit Uva Menta, Botella Pet 500 ml, 6 Piezas"
1,13645700,8894620000000000000,1018,3450000000000000000,Fuze Tea Frutos Rojos,653,8340000000000000000,"Fuze Tea Durazno, Botella Pet 600 ml, 6 Piezas"
1,5141039,8980340000000000000,180,7100000000000000000,Coca - Cola,39,275000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,2394413,8928590000000000000,498,7020000000000000000,Del Valle Mango,1850,5150000000000000000,"Del Valle Surtida, Tetra Pack 1.00 L, 4 Piezas"
1,7275657,8915160000000000000,3737,3820000000000000000,Santa Clara Leche Vainilla,3734,546000000000000000,"Santa Clara Leche Fresa, Tetra Pack 180 ml, 4 Piezas"
1,20629170,9059270000000000000,75,3430000000000000000,Ciel Agua Purificada,2365,1690000000000000000,"Ciel Exprim Limón, Botella Pet 600 ml, 12 Piezas"
1,14292060,8898450000000000000,1152,4010000000000000000,Topo Chico Agua Mineral,4153,9100000000000000000,"Topo Chico Agua Mineral, Botella Vidrio 355 ml, 12 Piezas"
1,7498817,9091750000000000000,3898,8130000000000000000,Coca - Cola,2108,4950000000000000000,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,13879433,9178290000000000000,557,9100000000000000000,Sprite Lima Limón,4149,1520000000000000000,"Sprite Lima Limón, Botella Pet 600 ml, 6 Piezas"
1,16178884,8916270000000000000,47,6160000000000000000,Ciel Agua Purificada,2364,4090000000000000000,"Ciel Exprim Jamaica, Botella Pet 600 ml, 12 Piezas"
1,14430178,8955310000000000000,802,8360000000000000000,Coca - Cola Light,176,9090000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,14288289,9030890000000000000,376,6630000000000000000,Del Valle Durazno,2947,6560000000000000000,"Del Valle y Nada Limón Pepino, Botella Pet 600 ml, 6 Piezas"
1,3498466,9073860000000000000,254,8510000000000000000,Coca - Cola,1405,5540000000000000000,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,7629538,8869760000000000000,1152,4010000000000000000,Topo Chico Agua Mineral,4153,9100000000000000000,"Topo Chico Agua Mineral, Botella Vidrio 355 ml, 12 Piezas"
1,20412742,8899690000000000000,802,8360000000000000000,Coca - Cola Light,176,9090000000000000000,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
